GREET_RANGE#0,"""¡Hola!~"""
GREET_SHOP_OPEN#0,"""¡Bienvenido!"""
GREET_SHOP_DISABLE#0,"""¡Lo siento~! <br>¡Hoy esta reservado para ti!"""
GREET_SHOP_CLOSE#0,"""¡Muchas gracias!"""
HINT_EAST#0,"""Siento que mi hermana esta actualmente en el este. <br>Esta es mi hermana menor, Kang."""
HINT_WEST#0,"""Siento que mi hermana esta actualmente en el oeste. <br>Esta es mi hermana menor, Kang."""
HINT_SOUTH#0,"""Siento que mi hermana esta actualmente en el sur. <br>Esta es mi hermana menor, Kang."""
HINT_NORTH#0,"""Siento que mi hermana esta actualmente en el norte. <br>Esta es mi hermana menor, Kang."""
00_01#0,"""Opcion 1"""
00_02#0,"""Opcion 2"""
TALK_ST#0,"""hablar"""
C_ORDER_ST#0,"""Escuchar los detalles"""
