Q0#0,"""hola"""
HELLO#0,"""¡Hola!"""
HELLO_FAV4#0,"""¡Finalmente esto aqui!"""
HELLO_FAV3#0,"""¡Te estaba esperando!"""
HELLO_FAV2#0,"""¡Hola!"""
HELLO_FAV1#0,"""¡Oye!"""
HELLO_FAV0#0,"""¿Mmm?"""
GOODBYE#0,"""¡Hasta la vista!"""
GOODBYE_FAV4#0,"""¿Ya te vas?"""
GOODBYE_FAV3#0,"""¡Hasta entonces!"""
GOODBYE_FAV2#0,"""¡Hasta la vista!"""
GOODBYE_FAV1#0,"""¡Bien!"""
GOODBYE_FAV0#0,"""Finalmente."""
00_01#0,"""Opcion 1"""
00_02#0,"""Opcion 2"""
TALK_ST#0,"""hablar"""
C_ORDER_ST#0,"""Escuchar los detalles"""
