NAME#0,"""Anneliese"""
NICKNAME#0,"""Asesor de Misiones"""
HELLO#0,"""¡Ven y desafia tus limites!"""
HELLO_FAV0#0,"""¡Ven y desafia tus limites!"""
HELLO_FAV1#0,"""¡Ven y desafia tus limites!"""
HELLO_FAV2#0,"""¡Ven y desafia tus limites!"""
HELLO_FAV3#0,"""¡Ven y desafia tus limites!"""
HELLO_FAV4#0,"""¡Ven y desafia tus limites!"""
Q0#0,"""¡Ven y desafia tus limites!"""
TALK_BYE_QUEST#0,"""¡Hagamos esto! ¡SIAAAAHHHH!"""
GOODBYE#0,"""¡Tienes que ser mas motivado para esto!"""
GOODBYE_FAV0#0,"""¡Tienes que ser mas motivado para esto!"""
GOODBYE_FAV1#0,"""¡Tienes que ser mas motivado para esto!"""
GOODBYE_FAV2#0,"""¡Tienes que ser mas motivado para esto!"""
GOODBYE_FAV3#0,"""¡Tienes que ser mas motivado para esto!"""
GOODBYE_FAV4#0,"""¡Tienes que ser mas motivado para esto!"""
00_01#0,"""Opcion 1"""
00_02#0,"""Opcion 2"""
TALK_ST#0,"""hablar"""
C_ORDER_ST#0,"""Escuchar los detalles"""
