Q0#0,"""hola"""
HELLO#0,"""¡Hola!"""
HELLO_FAV4#0,"""¡Oh, has venido!"""
HELLO_FAV3#0,"""¡Te estaba esperando!"""
HELLO_FAV2#0,"""¡Hola!"""
HELLO_FAV1#0,"""¿Necesitas algo?"""
HELLO_FAV0#0,"""¿Mmm?"""
GOODBYE#0,"""¡Hasta la vista!"""
GOODBYE_FAV4#0,"""¡Regresa pronto!"""
GOODBYE_FAV3#0,"""¡Diez un buen dia!"""
GOODBYE_FAV2#0,"""¡Hasta la vista!"""
GOODBYE_FAV1#0,"""Adios"""
GOODBYE_FAV0#0,"""Fu~"""
00_01#0,"""Opcion 1"""
00_02#0,"""Opcion 2"""
TALK_ST#0,"""hablar"""
C_ORDER_ST#0,"""Escuchar los detalles"""
