HELLO#0,"""""""Puedes comprar y vender discotecas aqui."""""""
HELLO_FAV4#0,"""""""Puedes comprar y vender discotecas aqui."""""""
HELLO_FAV3#0,"""""""Puedes comprar y vender discotecas aqui."""""""
HELLO_FAV2#0,"""""""Puedes comprar y vender discotecas aqui."""""""
HELLO_FAV1#0,"""""""Puedes comprar y vender discotecas aqui."""""""
HELLO_FAV0#0,"""""""Puedes comprar y vender discotecas aqui."""""""
Q0#0,"""""""Puedes comprar y vender discotecas aqui."""""""
GOODBYE#0,"""""""¡Adios!."""""""
GOODBYE_FAV4#0,"""""""¡Adios!."""""""
GOODBYE_FAV3#0,"""""""¡Adios!."""""""
GOODBYE_FAV2#0,"""""""¡Adios!."""""""
GOODBYE_FAV1#0,"""""""¡Adios!."""""""
GOODBYE_FAV0#0,"""""""¡Adios!."""""""
00_01#0,"""""""Opcion 1"""""""
00_02#0,"""""""Opcion 2"""""""
TALK_ST#0,"""""""hablar"""""""
C_ORDER_ST#0,"""""""Escuchar los detalles"""""""
