GREET_RANGE#0,"""¡Hola!"""
GREET_SHOP_OPEN#0,"""¡Bienvenido!"""
GREET_SHOP_DISABLE#0,"""Disculpa.<br>hoy en dia es un estatuto mas."""
GREET_SHOP_CLOSE#0,"""¡Gracias!"""
HINT_EAST#0,"""¡Siento que mi hermana esta en el este! <br>¡Absolutamente! \u3000¡Quizas! \u3000¡Probablemente!"""
HINT_WEST#0,"""¡Siento que mi hermana esta en el oeste! <br>¡Absolutamente! \u3000¡Quizas! \u3000¡Probablemente!"""
HINT_SOUTH#0,"""¡Siento que mi hermana esta en el sur! <br>¡Absolutamente! \u3000¡Quizas! \u3000¡Probablemente!"""
HINT_NORTH#0,"""¡Siento que mi hermana esta en el norte! <br>¡Absolutamente! \u3000¡Quizas! \u3000¡Probablemente!"""
00_01#0,"""Opcion 1"""
00_02#0,"""Opcion 2"""
TALK_ST#0,"""hablar"""
C_ORDER_ST#0,"""Escuchar los detalles"""
