WINDOW_TITLE#0,"""""""¿Que?"""""""
CLOSE_MENU#0,"""""""Volver"""""""
START_CLIENT_ORDER#0,"""""""Orden del cliente"""""""
START_TALK#0,"""""""hablar"""""""
MB_ACCEPT#0,"""""""Aceptar"""""""
MB_REPORT#0,"""""""reportero"""""""
MB_REJECT#0,"""""""rechazar"""""""
TICKET_BOARD#0,"""""""Recibir Pase Extremo"""""""
ARKSROAD_FORM#0,"""""""Revisar el progreso del entrenamiento ARKS"""""""
ARKSROAD#0,"""""""Sobre las [Lecciones ARKS]"""""""
ARKSMISSION_FORM#0,"""""""Misiones ARKS"""""""
KNOWLEDGE#0,"""""""Lecciones privadas de Astarte"""""""
SHIP_BATTLE_MENU#0,"""""""Concurso de barcos ARKS"""""""
SHOP_PASTRY#0,"""""""Pasteleria Naura"""""""
SHAO1#0,"""""""Ofrecer cooperacion"""""""
SHAO2#0,"""""""Revisar el conocimiento de la base"""""""
SHAO3#0,"""""""Comprobar la situacion actual"""""""
PRESENT_POINT#0,"""""""Recibiras un regalo de $(0)."""""""
PET_LIMIT_BREAK#0,"""""""Solicitar limite de mascotas"""""""
SUMMONER_MENU#0,"""""""Preguntar por los Summoners"""""""
STORY_BOARD#0,"""""""Guion grafico (Ep.4)"""""""
EVENT_CHRONICLE#0,"""""""Cronica de eventos"""""""
SUMMONER_MENU1#0,"""""""Acerca de las personalidades de las mascotas"""""""
GAT_TUTORIAL#0,"""""""Escuchar explicacion de recoleccion"""""""
GAT_TUTORIAL1#0,"""""""Escuchar explicacion de los anillos"""""""
EQUIP_NOTE#0,"""""""Archivo de recoleccion"""""""
EQUIP_NOTE_TUTORIAL#0,"""""""Acerca del archivo de recoleccion"""""""
ArksLeague#0,"""""""Recompensas de la liga"""""""
ArksLeagueRanking#0,"""""""Info mas reciente de la liga"""""""
Arks_Tut#0,"""""""Acerca de [Liga ARKS]"""""""
INVITE_REWARD#0,"""""""Carga por invitacion"""""""
FCap_Tut#0,"""""""Sobre \""Copa Famitsu\"""""""""
GetPokaRankingReward#0,"""""""Recibir Recompensa de Ranking de Batalla"""""""
Celestial_Sphere#0,"""""""cambiar escenario"""""""
EP4_CHANGE_SIERRA#0,"""""""Cambiar al EP4"""""""
EP5_CHANGE_SIERRA#0,"""""""Cambiar al EP5"""""""
ALMA_MENU#0,"""""""Preguntar"""""""
HERO_MENU01#0,"""""""Pregunte por Heroes"""""""
PHANTOM_MENU01#0,"""""""Pregunta por Phantoms"""""""
ETOILE_MENU01#0,"""""""Pregunte por Etoile"""""""
LUSTER_MENU01#0,"""""""Pregunta por Lustre"""""""
