11_voice_NPC_5313_104#0,"""¡Ah, <%yo>! <br>…… ¿Eh? \u3000Cultivar bien a los recien llegados<br>¿Quieres saber como enseйar?"""
Hyui_01_020#0,"""¡Ah, como departamento de inteligencia! <br>Me pregunto si estoy tratando de criar nuevos idolos...<br>Sin embargo, eso seria interesante."""
Hyui_01_030#0,"""Por ejemplo, cuando enseйe Aika, explique con entusiasmo ejemplos, los mejores metodos y las razones detras de ellos."""
11_voice_NPC_5313_100#0,"""Al igual que un par de gafas insidiosas<br>¡La orientacion dificil y desagradable no es buena! <br>¡Sea brillante, divertido y entusiasta!"""
11_voice_NPC_5313_101#0,"""¡Ah, <%yo>! <br>¿Viniste a verme? <br>¡Gracias, estoy feliz!"""
11_voice_NPC_5313_104#1,"""Eh, ¿te gustaria que te dijera algunos consejos sobre como comportarme emocionalmente como lo estoy ahora...?"""
Auyuku_01_030#0,"""¿Quizas porque es un idolo? <br>¡El trabajo de los idolos es animar a todos y actuar con alegria!"""
Auyuku_01_040#0,"""Pero no te estas forzando, ¿verdad? <br>Ver a todos felices<br>Estoy muy feliz."""
11_voice_NPC_5313_100#1,"""¡Quiero ver las caras felices de todos! <br>Cuando pienso en ello, naturalmente me encuentro sonriendo, ¡supongo!"""
11_voice_NPC_5313_100#2,"""Bueno, ¡parece que finalmente! <br>Puede que sea un momento para ti, pero<br>Tuvimos que esperar bastante, ¿verdad?"""
sb1_002#0,"""Pues bien, para celebrar tu regreso, ¿que tal si empezamos con un show en vivo?"""
sb1_003#0,"""El idolo de todos, Kuna-chan, todavia esta vivo y coleando, ¡por eso!"""
11_voice_NPC_5313_100#3,"""¿Te preparas cuidadosamente para la presentacion en vivo? <br>Lo mismo ocurre con la direccion y el montaje."""
st01_020#0,"""¡Quiero que sea un buen directo para todos los que vengan a verlo!"""
11_voice_NPC_5313_100#4,"""¿Kasura? \u3000Ah, te refieres a las gafas insidiosas. <br>Si es el, ultimamente ha estado perfeccionando su astucia."""
st01_020#1,"""Como comandante del departamento de inteligencia, esta haciendo pleno uso de su autoridad y trabajando entre bastidores aqui y alla."""
st01_030#0,"""Ese tipo intenta usar todo lo que puede. Tampoco creo que pueda permanecer sin relacion."""
11_voice_NPC_5313_100#5,"""No es que este protegiendo al departamento de inteligencia, pero tampoco es que lo este ocultando."""
st01_020#2,"""Separamos cosas de las que no estamos seguros, cosas que creemos que deberian publicarse en orden y cosas asi."""
st01_030#1,"""Bueno, dado que las intenciones de esos lentes insidiosos tienen mucho que ver con eso, supongo que no se puede evitar que no pueda confiar en el."""
11_voice_NPC_5313_100#6,"""Aika vive en la Tierra por un tiempo, por lo que parece tener fuertes sentimientos por ella."""
st01_020#3,"""Parece que fuiste a la escuela, etc.<br>Supongo que tienes algunos amigos asi, ¿verdad?"""
st01_010#0,"""Ahora que lo pienso, aun no conoce al Sr. Matoi. <br>Como sujeto del departamento de inteligencia, quiero disculparme por eso."""
st01_020#4,"""Estaba despierto antes que tu, pero gracias a las maniobras secretas de Glasses y el comportamiento irracional de Aika, te hice hacer algo estupido otra vez..."""
st01_030#2,"""Hace medio aйo, comence a volver a tener un sueйo frio. <br>Lo siento mucho."""
11_voice_NPC_5313_104#2,"""Cuando tratas con personas, de repente tienes que pensar en mas cosas, por lo que es dificil para el departamento de inteligencia."""
st01_020#5,"""Todos estaban ocupados haciendo la tarea, investigando y otras cosas."""
