common01#0,"""Mensaje ficticio"""
sk_common_0010#0,"""¡Eso es suficiente!, ¡Eso fue genial! ¡Realmente me mostro lo duro que trabaja!"""
sk_common_0020#0,"""Pero aun asi, su rendimiento es un poco escaso."""
sk_common_0030#0,"""Aun asi, fueron capaces de abrirse camino hasta el final y eso es lo que se necesita para ser un miembro ARKS."""
sk_common_0040#0,"""Ustedes no ganaron y no consiguieron el puntaje requerido, pero sus esfuerzos se notan bien."""
sk_common_0050#0,"""Densa prisa - ¡Todo el mundo esta esperando!"""
sk_common_0060#0,"""Realmente no hay nada que pueda arreglar sobre su rendimiento, ¡Fue perfecto!, ¡Todo gracias a mi brillante planificacion!"""
sk_common_0070#0,"""Pero supongo que parte de ello se debe a su esfuerzo como participantes."""
sk_common_0080#0,"""¡El prepara algo especial para ti!"""
sk_common_0090#0,"""¡Jajajaja! ¡Me pregunto si los dos de ustedes disfrutaran de esto!"""
sk_common_0100#0,"""Hey ¡Huey!, ¡Huey!, ¡Quiero participar tambien!"""
sk_common_0110#0,"""Eres parte del personal, ¿no? ¡Hora de informar la situacion actual!"""
sk_common_0120#0,"""¿Que?"""
sk_common_0130#0,"""Ah, creo que he oido ese nombre en alguna parte antes..."""
sk_common_0140#0,"""Pero aun asi, todo el mundo se trata de cuello a cuello. Podria ir a cualquier parte de aqui."""
sk_common_0150#0,"""Oye, Huey, estoy leyendo lo que has escrito aqui. ¿Es divertido?"""
sk_common_0160#0,"""El evento esta entrando ahora en la segunda mitad. ¡Espero ver a todos dar su mejor esfuerzo!"""
sk_common_0170#0,"""Hola Clarissa, esto es para la gente que participa, asi que solo cooperaras."""
sk_common_0180#0,"""¡Espera, Huey! ¿Que se supone que debo hacer?"""
sk_common_0190#0,"""¿Que? Mas alla de simplemente desearles felicitaciones, ¿Hay algo mas que usted necesita hacer?"""
sk_common_0200#0,"""No, no se trata de eso..."""
sk_common_0210#0,"""¡Fuhwahahahaha! De todos modos, no te preocupes por los pequeйos detalles."""
sk_common_0220#0,"""Mirando la forma en que luchas, ¡Creo que te entiendo!, ¡No hay necesidad de palabras entre nosotros!"""
sk_common_0230#0,"""¡No te olvides de la justicia que hay en tu corazon, y no te preocupes por los detalles mas alla de eso! Las cosas tienden a funcionar por su cuenta."""
sk_common_0240#0,"""¿Eso era lo unico que querias preguntar? Bien, hasta mas tarde entonces!"""
sk_common_0250#0,"""Realmente, no encaja en el molde, ¿Verdad? Todavia estoy preparado para cualquier cosa."""
sk_common_0260#0,"""Pues bien, tambien fue divertido para mi, asi que parare aqui. ¡Nos vemos de nuevo!"""
sk_common_0270#0,"""Creo que he oido ese nombre en algun lugar antes..."""
sk_common_0280#0,"""A continuacion ¡Se ven al par de Ohza el Hunter y Marlu la Force!"""
sk_common_0290#0,"""¡Parece que las hermanas de la informacion estan llegando tambien!"""
sk_common_0300#0,"""¿Que?"""
sk_common_0310#0,"""Escucha Clarissa, cuando crezcas, hay cosas que solo tienes que descubrir."""
sk_common_0320#0,"""Por lo menos, ¿Leerias los detalles del evento?"""
Name01#0,"""ceniza"""
Name02#0,"""Suu"""
Name03#0,"""lupica"""
Name04#0,"""giliam"""
