NAME#0,"""Allagas"""
NICKNAME#0,"""Asesor de tienda: armas"""
HELLO#0,"""¡Puedes comprar y vender armas aqui!"""
HELLO_FAV4#0,"""¡Puedes comprar y vender armas aqui!"""
HELLO_FAV3#0,"""¡Puedes comprar y vender armas aqui!"""
HELLO_FAV2#0,"""¡Puedes comprar y vender armas aqui!"""
HELLO_FAV1#0,"""¡Puedes comprar y vender armas aqui!"""
HELLO_FAV0#0,"""¡Puedes comprar y vender armas aqui!"""
Q0#0,"""¡Puedes comprar y vender armas aqui!"""
GOODBYE#0,"""¡Espero verde de nuevo!"""
GOODBYE_FAV4#0,"""¡Espero verde de nuevo!"""
GOODBYE_FAV3#0,"""¡Espero verde de nuevo!"""
GOODBYE_FAV2#0,"""¡Espero verde de nuevo!"""
GOODBYE_FAV1#0,"""¡Espero verde de nuevo!"""
GOODBYE_FAV0#0,"""¡Espero verde de nuevo!"""
00_01#0,"""Opcion 1"""
00_02#0,"""Opcion 2"""
TALK_ST#0,"""hablar"""
C_ORDER_ST#0,"""Escuchar los detalles"""
