IncidentName#0,"""Rompiendo la fuerza de defensa de la base de la tribu dragon"""
TrialBeginMsg#0,"""Derrota a todas las tribus de dragones que defienden la base."""
TrialAbstract#0,"""Derrota a todas las tribus de dragones que defienden la base."""
NpcComOnBegin#0,"""拠点の防衛隊のようですが<br>ダーカーの影響を受けていますね。<br>仕方ありません、対処をお願いします。"""
NpcComOnCloseSuccess#0,"""/face2 敵性存在の撃破を確認しました。<br>引き続き龍磁晶を破壊し、<br>防壁を開放してください。"""
NpcComOnOpenSuccess#0,"""/face2 敵性存在の撃破を確認しました。<br>先に進んでください。"""
NpcComOnOpenDoor#0,"""敵拠点の防壁が開放されましたが<br>攻撃は止まらないようですね。<br>……対処をお願いします。"""
NpcComOnDestroyCrystal#0,"""Hemos confirmado la destruccion del Dragon Magnet Crystal."""
NpcComOnBegin#1,"""¿Todas esas son bases Dragonkin?<br>No... ¡Estan siendo controladaas por los Darkers!<br>¡Por favor ten cuidado!"""
NpcComOnCloseSuccess#1,"""敵性反応の撃退を確認した。<br>引き続き敵拠点の攻略を進めろ。"""
NpcComOnOpenSuccess#1,"""敵性反応の撃退を確認した。<br>周辺を警戒しながら奥へ進め。"""
NpcComOnOpenDoor#1,"""Los muros de las bases han<br>sido abiertas pero el ataque continua.<br>No pueden ser ayudados. Por favor encargate de esto."""
NpcComOnDestroyCrystal#1,"""Confirmada la destruccion del Dragon Magnet Crystal."""
NpcComOnBegin#2,"""うーん、あの防衛隊の龍族<br>侵食されてるみたいですね……<br>やっつけて先に進みましょう！"""
NpcComOnCloseSuccess#2,"""/face2 敵さんの反応が無くなりました！<br>あとは龍磁晶を破壊して<br>防壁を開きましょー！"""
NpcComOnOpenSuccess#2,"""/face2 敵さんの反応が無くなりました！<br>どんどん先へと進んじゃって<br>くださいー！"""
NpcComOnOpenDoor#2,"""防壁の開放を確認しました！<br>……でも、敵さんは止まりませんね。<br>倒しちゃうしかなさそうです。"""
NpcComOnDestroyCrystal#2,"""龍磁晶の破壊、<br>確認しましたー！"""
