IncidentName#0,"""Ya sea luchando contra $(0)!"""
TrialBeginMsg#0,"""Repelente $(1) $(0)!"""
TrialAbstract#0,"""Repeler el $(0) que ha aparecido!"""
NpcComOnPreBegin#0,"""¡Se acerca una nueva<br>fuente de calor!, por favor ten cuidado, ¡Ya viene!"""
NpcComOnBegin#0,"""¿Ese es Rappy...? <br>No parece haber ninguna hostilidad, pero para evitar confusion,<br>cada miembro debe intentar repelerlos."""
NpcComOnSuccess#0,"""Aunque fue para evitar confusion...<br>Siento un poco de lastima por el. <br>Nos gustaria agradecer a todos por su cooperacion."""
NpcComOnPreBegin#1,"""Esta es una nueva reaccion de fuente de calor. <br>No bajes la guardia, esto es enorme."""
NpcComOnBegin#1,"""Algo extraйo ha aparecido de nuevo...<br>No puedo dejarlo asi. <br>¡Cada miembro, contraataque!"""
NpcComOnSuccess#1,"""Parece que se fue a casa. <br>Espero que puedas aprender de esto...<br>En cualquier caso, gracias por tu cooperacion."""
NpcComOnPreBegin#2,"""Estas fuentes de calor<br>son muy raras por favor<br>ten mucho cuidado"""
NpcComOnBegin#2,"""¡Guau! \u3000¡Ha aparecido uno grande! <br>Es lindo, pero es peligroso aqui.<br>¿Deberia pedirte que te vayas?"""
NpcComOnSuccess#2,"""Me siento un poco lastimado, pero<br>Estamos aqui el uno para el otro...<br>¡Gracias a todos por su arduo trabajo!"""
NpcComOnPreBegin#3,"""Este mas alerta a su entorno. <br>Se intuye una nueva reaccion."""
NpcComOnBegin#3,"""Confirmo la aparicion de una enorme reaccion. <br>No se ha observado ninguna actividad hostil.<br>Por favor, repelelos para evitar el caos."""
NpcComOnSuccess#3,"""Retirada confirmada de reaccion gigante. <br>Gracias por su apropiada respuesta."""
NpcComOnPreBegin#4,"""¡Ten cuidado contigo! <br>¡Hay una reaccion sospechosa!"""
NpcComOnBegin#4,"""Vaya... algo asombroso...<br>No parece hostil, pero es peligroso, ¡asi que repelemoslo!"""
NpcComOnSuccess#4,"""No se a que viniste, pero...<br>Queria conocerte fuera de la mision. <br>De todos modos, ¡gracias por su arduo trabajo!"""
NpcComOnPreBegin#5,"""¡Ten cuidado contigo! <br>¡Hay una reaccion sospechosa!"""
NpcComOnBegin#5,"""Vaya... algo asombroso...<br>No parece hostil, pero es peligroso, ¡asi que repelemoslo!"""
NpcComOnSuccess#5,"""No se a que viniste, pero...<br>Queria conocerte fuera de la mision. <br>De todos modos, ¡gracias por su arduo trabajo!"""
