IncidentName#0,"""Destruir el Darchyme!"""
TrialBeginMsg#0,"""Destruir el Darchyme!"""
TrialAbstract#0,"""¡Destruye todos los Darkaim!"""
NpcComOnBegin#0,"""Report to all Arks in the área. A Darchyme, Darker control point which corrupts the surrounding área, has appeared. Destroy them before they activate!"""
NpcComOnSuccess#0,"""It seems that all of the Darchyme have been destroyed. Damage to the surrounding área has been prevented. Todos, buen trabajo!"""
NpcComOnFailure#0,"""/face6 Darkaim ha comenzado...<br>Tendra un grave impacto en el entorno circundante, pero<br>No se puede evitar si no se puede detener."""
GeneratorLastOne#0,"""Bien, solo queda una reaccion mas para Darkaim."""
GeneratorAdd#0,"""Confirmada la aparicion de un nuevo Darkaim. <br>El alcance es amplio, asi que procese rapidamente."""
TimeLimitNear#0,"""No queda mucho tiempo hasta que Darkaim comience. Apurarse."""
DestroyGenerator#0,"""Confirmada la destruccion de Darkaim. <br>¡No bajes la guardia hasta el final!"""
DestroyIndicated#0,"""Reaccionar al punto $(0). <br>Corre y destruye Darkaim."""
NpcComOnBegin#1,"""¡Hemos confirmado la aparicion de Darkaim! <br>¡Destruye todo antes de que se acabe el tiempo!"""
NpcComOnSuccess#1,"""Confirmada la desaparicion de todos los Darkaim. <br>Tambien se evito la contaminacion del entorno circundante. <br>¡Gracias por su arduo trabajo!"""
NpcComOnFailure#1,"""Darkaim, empieza...<br>El impacto en el entorno circundante es inevitable. <br>¡Hagamos nuestro mejor esfuerzo la proxima vez!"""
GeneratorLastOne#1,"""¡Una reaccion mas de Darkaim!"""
GeneratorAdd#1,"""¡Confirma la aparicion de un nuevo Darkaim! <br>¡Por favor explora y destruye!"""
TimeLimitNear#1,"""Hasta el lanzamiento de Darkaim<br>¡Se nos acaba el tiempo! <br>¡Date prisa y destruyelo!"""
DestroyGenerator#1,"""Se ha confirmado la destruccion de Darkaim. <br>¡Hagamos nuestro mejor esfuerzo a este ritmo!"""
DestroyIndicated#1,"""¡Comprueba la reaccion al punto $(0)! <br>Date prisa y destruyelo."""
