IncidentName#0,"""Destruye al luchador contra la erosion"""
TrialBeginMsg#0,"""¡Destruye el avion de combate que ha sido invadido por Darker!"""
EnemyAppearMsg#0,"""¡Un enemigo aparecio desde la direccion de $(0)!"""
TrialEvolutionBeginMsg_ReLanding#0,"""¡Defiende al luchador nuevamente hasta que se completen las reparaciones!"""
TrialEvolutionBeginMsg_ShootDarkerHeli#0,"""¡Destruye el avion de combate que ha sido invadido por Darker!"""
TrialAbstract#0,"""Destruye el avion de combate invadido por Darker dentro del limite de tiempo."""
NpcComOnBegin#0,"""/face3 ¡El avion de combate ARKS ha sido erosionado por Darker...! <br>Tsk, se ha convertido en una molestia."""
NpcComOnBegin2#0,"""¡Destruye el avion correspondiente ahora mientras la erosion este incompleta!"""
NpcComOnHp50#0,"""Ten cuidado.<br>La corrupción Darker está progresando rapidamente."""
NpcComOnHp10#0,"""Es casi el momento de destruir el luchador contra la erosion."""
NpcComOnLanding#0,"""sin usar"""
NpcComOnTimeNotice#0,"""...El nivel de erosion es bastante grave. <br>¡Date prisa para destruirlo, te lo robaran!"""
NpcComOnSuccess#0,"""Confirmada la destruccion del luchador contra la erosion. <br>Hiciste un gran trabajo."""
NpcComOnFailure#0,"""...La reaccion del luchador, desaparecio. <br>Darker, ¿que planeas hacer al quitarte esa cosa...?"""
