IncidentName#0,"""Busqueda del tesoro de Lilypa"""
TrialBeginMsg#0,"""¡Protege a la tribu Lilypa en busca de tesoros hasta el final!"""
TrialAbstract#0,"""¡Protege a la tribu Lilypa en busca de tesoros hasta el final!"""
NpcComOnBegin#0,"""今、現れたリリーパ族……<br>何かを探しているみたいですね。"""
NpcComOnBeginNext#0,"""Veo que... Parece que el Lillipan esta buscando por algun tipo de  tesoro. Por favor mantenganlo sano y salvo, todo lo que puedas."""
NpcComOnSuccess#0,"""Parece haber encontrado lo que buscaba. No hay necesidad de seguir protegiendolo ahora. Por favor, vuelve a la mision principal."""
NpcComOnFailure#0,"""¿Esta bien el Lillipan?...Disculpe. Es desafortunado, pero no has podido protegerlo. Por favor, vuelve a la mision principal."""
NpcComOnFindPlayer#0,"""あそこが、リリーパ族の目指している<br>目標地点のようですね。"""
NpcComOnFindLilipa#0,"""リリーパ族が目標地点を<br>発見したようです。"""
NpcComOnArrivalFirst#0,"""El Lillipan ha llegado a su destino. Los hostiles estan convergiendo en tu ubicacion. Ten cuidado y Por favor manten a Lillipan a salvo."""
NpcComOnArrivalNext#0,"""再びリリーパ族が発掘を始めました。<br>何を探しているんでしょう……<br>失礼。引き続き警戒をしてください。"""
NpcComOnArrivalFinal#0,"""ここが最後の地点のようですね。<br>気を抜かず、最後までリリーパ族を<br>守ってあげましょう。"""
NpcComOnSearchFailure#0,"""この目標地点では、目的としている<br>宝物が見つからなかったようですね。"""
NpcComOnJoin#0,"""Actualmente estamos escoltando a un Lillipan mientras excava en busca de tesoros y reliquias. Por favor, ayuda si puedes."""
NpcComOnBegin#1,"""そのリリーパ族は……<br>どうやら、何かを探しているようだな。"""
NpcComOnBeginNext#1,"""そのリリーパ族はガラクタから<br>宝物を発掘するつもりのようだ。<br>可能な限り護衛してやれ。"""
NpcComOnSuccess#1,"""Parece que Lillipan encontro lo que buscaba. No hay necesidad de seguir defendiendolo. Regresa a la mision principal."""
NpcComOnFailure#1,"""Fallastes en la protección del Lillipan. Bueno, estas cosas suceden. Regresa a la misión principal."""
NpcComOnFindPlayer#1,"""リリーパ族の目標としている場所は<br>あそこのようだ。"""
NpcComOnFindLilipa#1,"""リリーパ族が目標地点を<br>発見したようだ。"""
NpcComOnArrivalFirst#1,"""リリーパ族は発掘に夢中だな。<br>……こういう時に何かが起こる。<br>周辺警戒を怠るなよ。"""
NpcComOnArrivalNext#1,"""リリーパ族はまた発掘を始めたようだ。<br>……先程と同じ状況だ。<br>周囲の敵影に気をつけろ。"""
NpcComOnArrivalFinal#1,"""ここが最終地点のようだな。<br>最後まで気を抜くなよ。"""
NpcComOnSearchFailure#1,"""ふむ……ここでは目的の物が<br>見つからなかったようだな。"""
NpcComOnJoin#1,"""遺物発掘を行っているリリーパ族の<br>護衛を行っている。<br>可能なら協力してやれ。"""
NpcComOnBegin#2,"""おややっ？\u3000あれ、リリーパ族ですね。<br>何か探してるみたいですけど……"""
NpcComOnBeginNext#2,"""うーん、どうやらがらくたの中から<br>宝物とかを探し出す気みたいです。<br>できるだけ守ってあげてもらえますか？"""
NpcComOnSuccess#2,"""/face2 やりました！\u3000無事宝物を見つけ出せた<br>みたいですよ！\u3000お疲れ様でした！"""
NpcComOnFailure#2,"""Oh no... Ese pobre Lillipan... Fallastes en mantenerlo a salvo. Por favor, vuelve a la misión principal"""
NpcComOnFindPlayer#2,"""¡Ese parece el destino!"""
NpcComOnFindLilipa#2,"""おやっ、リリーパ族が目標地点を<br>見つけたみたいですよー！"""
NpcComOnArrivalFirst#2,"""¡El Lillipan ha empezado a cavar! Los enemigos probablemente estaran aqui pronto, asi que ¡por favor, mantente atento a ellos!"""
NpcComOnArrivalNext#2,"""再びリリーパ族が発掘開始です！<br>さっきと同様、敵さんに警戒ですよー！"""
NpcComOnArrivalFinal#2,"""¡Este parece el ultimo lugar! ¡Por favor sigue protegiendolo!"""
NpcComOnSearchFailure#2,"""この地点はハズレ、みたいです。<br>次の場所に向かうようですよー。"""
NpcComOnJoin#2,"""Estamos en medio de escoltar a un Lillipan en este momento. Si puedes, ¡por favor reunete con los otros ARKS y unete a la mision!"""
OnFun#0,"""LiLi!!"""
OnFind#0,"""/mn38 ¡Riri!"""
OnDrop#0,"""¡Riri! ?"""
OnDamage#0,"""/mn2 Riri..."""
OnMove#0,"""/mn17 ¡Lili! Lili!"""
OnSuccess#0,"""/ci2 1 /mn38 Lili! Lili!"""
OnDie#0,"""Rii...RiRiRi..."""
