Q0#0,"""¿Hablas conmigo?"""
HELLO#0,"""¿Hablas conmigo?"""
HELLO_FAV4#0,"""Te estaba esperando."""
HELLO_FAV3#0,"""hola"""
HELLO_FAV2#0,"""¿Hablas conmigo?"""
HELLO_FAV1#0,"""solicitudes de"""
HELLO_FAV0#0,"""¿Que?"""
GOODBYE#0,"""Bueno, entonces"""
GOODBYE_FAV4#0,"""gracias de nuevo"""
GOODBYE_FAV3#0,"""Adios"""
GOODBYE_FAV2#0,"""Bueno, entonces"""
GOODBYE_FAV1#0,"""Entonces."""
GOODBYE_FAV0#0,"""Fu~"""
00_01#0,"""Opción １"""
00_02#0,"""Opción ２"""
TALK_ST#0,"""hablar"""
C_ORDER_ST#0,"""Escuchar consejo."""
