11_voice_NPC_5242_101#0,"""Oh, mi amig@!<br>¡Justo a tiempo!"""
favs_before_020#0,"""¡Hay regalos para mis amigos!<br>¡Ven y recíbelos!"""
favs_after_010#0,"""No hay necesidad de que me agradescas!<br>¡Es esta mi forma de decirle gracias!"""
favs_after_020#0,"""Bueno, entonces, ¡Mi amig@!<br>¡Buena vida Summoner!"""
egg_present_010#0,"""¡Vienes a menudo!, ¡Gracias!<br>¡No es una exageración decir<br>que la vida de un Summoner<br>comienza aquí!"""
egg_present_020#0,"""¡Te daré un regalo cuando empiece la vida del Summoner!<br>¡Me pregunto si lo recibirás!"""
egg_present_030#0,"""¡De ese huevo, un hermoso hijo nacerá!<br>¡Después de eso es fácil derramar todo el amor!\u3000"""
egg_present_040#0,"""Bueno, entonces, rezo para que también disfrutes de la vida de un Summoner.<br>Oh, qué lindos son mis hijos..."""
skit_item_present_5242_000#0,"""Ha recibido <yellow><%skit_text><c> de Pietro"""
skit_item_present_5242_000_01#0,"""Ha recibido <yellow><%skit_text><c> de Pietro"""
skit_item_present_5242_010#0,"""Ha recibido <yellow><%skit_text><c> de Pietro"""
skit_item_present_5242_020#0,"""Ha recibido <yellow><%skit_text><c> de Pietro"""
skit_item_present_5242_030#0,"""Ha recibido <yellow><%skit_text><c> de Pietro"""
skit_item_present_5242_040#0,"""Ha recibido <yellow><%skit_text><c> de Pietro"""
skit_item_present_5242_050#0,"""Ha recibido <yellow><%skit_text><c> de Pietro"""
skit_item_present_5242_060#0,"""Ha recibido <yellow><%skit_text><c> de Pietro"""
skit_item_present_5242_070#0,"""Ha recibido <yellow><%skit_text><c> de Pietro"""
skit_item_present_5242_080#0,"""Ha recibido <yellow><%skit_text><c> de Pietro"""
skit_item_present_5242_090#0,"""Ha recibido <yellow><%skit_text><c> de Pietro"""
skit_item_present_5242_100#0,"""Ha recibido <yellow><%skit_text><c> de Pietro"""
favs_present_add_001#0,"""Ha recibido <yellow><%skit_text><c> de Pietro"""
11_voice_NPC_5242_100#0,"""¡Oye, es mi amigo! <br>Parece que estas preocupado por algo. <br>¡No dudes en preguntarme cualquier cosa!"""
sierra_020#0,"""...Hmm, ¿mis queridos hijos recientemente han hecho nuevos amigos? <br>¿Un niйo disfrazado de Halloween?"""
11_voice_NPC_5242_104#0,"""Bueno, lamentablemente no soy yo. <br>Ni siquiera los niйos que amo encarnan mi imagen."""
sierra_040#0,"""Todo lo que se es que ese niйo necesita amor, al igual que los niйos que amo."""
sierra_050#0,"""Te llamaron de la nada y no podias distinguir la izquierda de la derecha.<br>Debes sentirte solo. ¡Por favor tratame con amor, amigo mio!"""
11_voice_NPC_5242_100#1,"""Oh, supongo que no hay nada que pueda decir al respecto<br>¡Ahora eres un invocador! <br>¡Gracias!"""
skit01_02#0,"""Bueno, entonces, ¿podria explicarte una vez mas sobre Summoner?"""
11_voice_NPC_5242_100#2,"""¡Gracias por venir! <br>¿Estas familiarizado con la nueva clase llamada Summoner?"""
skit02_02#0,"""No, no es necesario que lo sepas todavia. <br>Te explicare las maravillas de Summoner. <br>Por eso te llame."""
skit02_03#0,"""Bueno, entonces, ¿podrias explicarnos en detalle sobre Summoner?"""
skit03_01#0,"""A continuacion, te explicare sobre las 'mascotas', ¡tus queridos compaйeros que comparten tus alegrias y tristezas!"""
11_voice_NPC_5242_101#1,"""Esto completa la explicacion basica de Summoner."""
skit04_02#0,"""Para celebrar tu partida, ¡te dare un regalo! <br>¡Tomalo!"""
